sku_norm,ahs_sku_raw,ahs_record_type,ahs_product_id,ahs_parent_product_id,ahs_title,ahs_variant_sku,ahs_price,ahs_cost,ahs_case_pack,ahs_case_cost,price_sheet_sku_raw,price_sheet_price_each,price_sheet_case_pack,price_sheet_case_cost
PVABM,PVA BM,product,19917,19917,Kartri 8 Gauge Peva Plain Vinyl Shower Curtain With Metal Grommets 72x72 White or Frosty 12 Per Case Price Per Each,PVA BM,10.73,,,,PVA BM,7.4,12,88.80000000000001
QIMPBD,QIMPBD,product,32674,32674,Kartri Quilted Breezes Coverlet Double 90x98 100% Microfiber Polyester White 8 Per Case Price Per Each,QIMPBD,54.74,37.75,8,302,QIMPBD,37.75,8,302
QIMPBK,QIMPBK,product,27170,27170,Kartri Quilted Breezes Coverlet King 112x98 100% Microfiber Polyester White 6 Per Case Price Per Each,QIMPBK,63.44,43.75,6,262.5,QIMPBK,43.75,6,262.5
QIMPBQ,QIMPBQ,product,27171,27171,Kartri Quilted Breezes Coverlet Queen 96x98 100% Microfiber Polyester White 8 Per Case Price Per Each,QIMPBQ,57.13,39.4,8,315.2,QIMPBQ,39.4,8,315.2
QIMPBT,QIMPBT,product,28104,28104,Kartri Quilted Breezes Coverlet Twin 74x98 100% Microfiber Polyester White 10 Per Case Price Per Each,QIMPBT,48.43,33.4,10,334,QIMPBT,33.4,10,334
QIMPDDD,QIMPDDD,product,32673,32673,Kartri Quilted Double Diamond Coverlet Double 90x98 100% Microfiber Polyester White 8 Per Case Price Per Each,QIMPDDD,54.74,37.75,8,302,QIMPDDD,37.75,8,302
QIMPDDK,QIMPDDK,product,27172,27172,Kartri Quilted Double Diamond Coverlet King 112x98 100% Microfiber Polyester White 6 Per Case Price Per Each,QIMPDDK,63.44,43.75,6,262.5,QIMPDDK,43.75,6,262.5
QIMPDDQ,QIMPDDQ,product,27173,27173,Kartri Quilted Double Diamond Coverlet Queen 96x98 100% Microfiber Polyester White 8 Per Case Price Per Each,QIMPDDQ,57.13,39.4,8,315.2,QIMPDDQ,39.4,8,315.2
QIMPDDT,QIMPDDT,product,29873,29873,Kartri Quilted Double Diamond Coverlet Twin 74x98 100% Microfiber Polyester White 10 Per Case Price Per Each,QIMPDDT,48.43,33.4,10,334,QIMPDDT,33.4,10,334
SBOXA,SBOXA,product,27177,27177,Kartri Satin Box Polyester Shower Curtain With Sewn Eyelets 72x72 White 12 Per Case Price Per Each,SBOXA,20.16,,,,SBOXA,13.9,12,166.8
SC,SC,product,19920,19920,Kartri 8 Gauge San Crepe Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SC,10.95,,,,SC,7.55,12,90.6
SL2940M,SL2940M,variant,19959,19959,Kartri Open Toe Terry Womens or Mens Large Bath Slippers With PVC Sole White 25 Pairs Per Case Price Per Each Pair,SL2940M,3.99,3.45,25,86.25,SL2940M,3.45,25,86.25
SL2940W,SL2940W,variant,19959,19959,Kartri Open Toe Terry Womens or Mens Large Bath Slippers With PVC Sole White 25 Pairs Per Case Price Per Each Pair,SL2940W,3.99,2.75,25,68.75,SL2940W,2.75,25,68.75
SL2941,SL2941,product,19958,19958,"Kartri 11"" Open Toe Terry Bath Slippers With EVA Sole White 25 Pairs Per Case Price Per Each Pair",SL2941,2.83,1.95,25,48.75,SL2941,1.95,25,48.75
SL2941-1-CT,SL2941-1-CT,product,30243,30243,"Kartri 11"" Closed Toe Terry Bath Slippers With EVA Sole White 25 Pairs Per Case Price Per Each Pair",SL2941-1-CT,2.9,2,25,50,SL2941-1-CT,2,25,50
SNW,SNW,product,19870,19870,Kartri Satein Woven Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,SNW,24.8,,,,SNW,17.1,12,205.20000000000002
SP,SP,product,19858,19858,Kartri Dobbie Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,SP,26.54,,,,SP,18.3,12,219.60000000000002
SPCNA,SPCNA,product,27176,27176,Kartri Dobbie Sparkle Polyester Shower Curtain With Sewn Eyelets 72x72 White 12 Per Case Price Per Each,SPCNA,15.23,,,,SPCNA,10.5,12,126
SS,SS,product,19910,19910,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SS,11.6,,,,SS,8,12,96
ST,ST,product,19924,19924,Kartri 7 Gauge See-Thru Vinyl Shower Curtain With Metal Grommets 72x72 Clear 12 Per Case Price Per Each,ST,10.22,,,,ST,7.05,12,84.6
SV3C5MB-1,SV3C5MB-1,product,30244,30244,"Kartri 11"" Closed Toe Terry Velour Bath Slippers With EVA Sole In Carry Bag White 100 Pairs Per Case Price Per Each Pair",SV3C5MB-1,3.12,2.15,100,215,SV3C5MB-1,2.15,100,215
SW,SW,product,19922,19922,Kartri 8 Gauge Swirl Vinyl Shower Curtain With Metal Grommets 72x72 White 12 Per Case Price Per Each,SW,9.43,,,,SW,6.5,12,78
URBWA-D,URBWA-D,product,27157,27157,Kartri Urban Waffle Decorative Top Sheet With Square Corners Double 85x90 100% Polyester White 6 Per Case Price Per Each,URBWA-D,38.14,26.3,6,157.8,URBWA-D,26.3,6,157.8
URBWA-K,URBWA-K,product,27155,27155,Kartri Urban Waffle Decorative Top Sheet With Square Corners King 105x95 100% Polyester White 6 Per Case Price Per Each,URBWA-K,46.26,31.9,6,191.39999999999998,URBWA-K,31.9,6,191.39999999999998
URBWA-Q,URBWA-Q,product,27156,27156,Kartri Urban Waffle Decorative Top Sheet With Square Corners Queen 90x95 100% Polyester White 6 Per Case Price Per Each,URBWA-Q,40.38,27.85,6,167.10000000000002,URBWA-Q,27.85,6,167.10000000000002
URBWA-T,URBWA-T,product,27158,27158,Kartri Urban Waffle Decorative Top Sheet With Square Corners Twin 69x90 100% Polyester White 6 Per Case Price Per Each,URBWA-T,34.22,23.6,6,141.60000000000002,URBWA-T,23.6,6,141.60000000000002
VCA,VCA,product,19876,19876,Kartri Vision Check Sheer Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,VCA,20.3,,,,VCA,14,12,168
VL3AA,VL3AA,product,27691,27691,Kartri 3 Gauge Vinyl Liner With Metal Grommets 72x72 White 24 Per Case Price Per Each,VL3AA,5.44,,,,VL3AA,3.75,12,45
VLCNAA,VLCNAA,product,27188,27188,Kartri 4 Gauge Vinyl Liner With Metal Grommets White or Beige 72x72 24 Per Case Price Per Each,VLCNAA,5.95,,,,VLCNAA,4.1,12,49.199999999999996
VSCNAABM,VSCNAA BM,product,19930,19930,Kartri 5 Gauge Vinsoft Vinyl Shower Curtain With Metal Grommets 72x72 White or Frosty 12 Per Case Price Per Each,VSCNAA BM,8.12,,,,VSCNAA BM,5.6,12,67.19999999999999
VT,VT,product,19926,19926,Kartri 6 Gauge Vintaff Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,VT,8.27,,,,VT,5.7,12,68.4
WASU-D,WASU-D,product,19968,19968,Kartri Waffle Supreme Decorative Top Sheet With Square Corners Double 85x90 100% Polyester White 6 Per Case Price Per Each,WASU-D,38.14,26.3,6,157.8,WASU-D,26.3,6,157.8
WASU-K,WASU-K,product,19966,19966,Kartri Waffle Supreme Decorative Top Sheet With Square Corners King 105x95 100% Polyester White 6 Per Case Price Per Each,WASU-K,46.26,31.9,6,191.39999999999998,WASU-K,31.9,6,191.39999999999998
WASU-Q,WASU-Q,product,19967,19967,Kartri Waffle Supreme Decorative Top Sheet With Square Corners Queen 90x95 100% Polyester White 6 Per Case Price Per Each,WASU-Q,40.38,27.85,6,167.10000000000002,WASU-Q,27.85,6,167.10000000000002
WASU-T,WASU-T,product,19969,19969,Kartri Waffle Supreme Decorative Top Sheet With Square Corners Twin 69x90 100% Polyester White 6 Per Case Price Per Each,WASU-T,34.22,23.6,6,141.60000000000002,WASU-T,23.6,6,141.60000000000002
