sku_norm,sku_raw,record_type,product_id,parent_product_id,parent_title,variant_sku,sku_cost,sku_case_pack,sku_case_cost,ahscompany_price,ahscompany_case_price,stock_status,url
E2Z-HB1-74-WSL,E2Z-HB1-74-WSL,product,27201,27201,Kartri Hang2It Herringbone Polyester Shower Curtain With Window & Snap Away Liner 72x74 White With Chrome Buckles 12 Per Case Price Per Each,E2Z-HB1-74-WSL,27.65,12,331.79999999999995,40.09,481.08000000000004,In Stock,https://www.ahscompany.com/Kartri-Hang2It-Herringbone-Polyester-Shower-Curtain-With-Window-Snap-Away-Liner-72x74-White-With-Chrome-Buckles-12-Per-Case-Price-Per-Each_p_27201.html
E2Z-HB1-77-WSL,E2Z-HB1-77-WSL,product,27202,27202,Kartri Hang2It Herringbone Polyester Shower Curtain With Window & Snap Away Liner 72x77 White With Chrome Buckles 12 Per Case Price Per Each,E2Z-HB1-77-WSL,28.85,12,346.20000000000005,41.83,501.96,In Stock,https://www.ahscompany.com/Kartri-Hang2It-Herringbone-Polyester-Shower-Curtain-With-Window-Snap-Away-Liner-72x77-White-With-Chrome-Buckles-12-Per-Case-Price-Per-Each_p_27202.html
E2Z-ML74-1WSLN,E2Z-ML74-1WSLN,product,27702,27702,Kartri Hang2It Millennium Polyester Shower Curtain With Window & Snap Away Liner 72x74 White With White Buckles 12 Per Case Price Per Each,E2Z-ML74-1WSLN,24.8,12,297.6,35.96,431.52,In Stock,https://www.ahscompany.com/Kartri-Hang2It-Millennium-Polyester-Shower-Curtain-With-Window-Snap-Away-Liner-72x74-White-With-White-Buckles-12-Per-Case-Price-Per-Each_p_27702.html
E2Z-ML77-1WSLN,E2Z-ML77-1WSLN,product,27207,27207,Kartri Hang2It Millennium Polyester Shower Curtain With Window & Snap Away Liner 72x77 White With White Buckles 12 Per Case Price Per Each,E2Z-ML77-1WSLN,26,12,312,37.7,452.40000000000003,In Stock,https://www.ahscompany.com/Kartri-Hang2It-Millennium-Polyester-Shower-Curtain-With-Window-Snap-Away-Liner-72x77-White-With-White-Buckles-12-Per-Case-Price-Per-Each_p_27207.html
EZ-150PA-1,EZ-150PA-1,product,23100,23100,Kartri Hang2It 150 Denier Polyester Liner 72x74 White 12 Per Case Price Per Each,EZ-150PA-1,13.2,12,158.39999999999998,19.14,229.68,In Stock,https://www.ahscompany.com/Kartri-Hang2It-150-Denier-Polyester-Liner-72x74-White-12-Per-Case-Price-Per-Each_p_23100.html
EZ-300P77-1W,EZ-300P77-1W,product,27189,27189,Kartri Hang2It 300 Denier Polyester Liner With Window 72x77 White 12 Per Case Price Per Each,EZ-300P77-1W,16.2,12,194.39999999999998,23.49,281.88,In Stock,https://www.ahscompany.com/Kartri-Hang2It-300-Denier-Polyester-Liner-With-Window-72x77-White-12-Per-Case-Price-Per-Each_p_27189.html
EZ-300PA-1,EZ-300PA-1,product,23102,23102,Kartri Hang2It 300 Denier Polyester Liner 72x74 White 12 Per Case Price Per Each,EZ-300PA-1,13.5,12,162,19.58,234.95999999999998,In Stock,https://www.ahscompany.com/Kartri-Hang2It-300-Denier-Polyester-Liner-72x74-White-12-Per-Case-Price-Per-Each_p_23102.html
EZ-DUO74-1-WSL,EZ-DUO74-1-WSL,product,27699,27699,Kartri Hang2It Duo-Poly Shower Curtain With Window & Snap Away Liner 72x74 White 12 Per Case Price Per Each,EZ-DUO74-1-WSL,21.15,12,253.79999999999998,30.67,368.04,In Stock,https://www.ahscompany.com/Kartri-Hang2It-Duo-Poly-Shower-Curtain-With-Window-Snap-Away-Liner-72x74-White-12-Per-Case-Price-Per-Each_p_27699.html
EZ-DUO74-1-WSL-WHITE/WHITE,EZ-DUO74-1-WSL-White/White,variant,27699,27699,Kartri Hang2It Duo-Poly Shower Curtain With Window & Snap Away Liner 72x74 White 12 Per Case Price Per Each,EZ-DUO74-1-WSL-White/White,21.15,12,253.79999999999998,30.67,368.04,In Stock,https://www.ahscompany.com/Kartri-Hang2It-Duo-Poly-Shower-Curtain-With-Window-Snap-Away-Liner-72x74-White-12-Per-Case-Price-Per-Each_p_27699.html
EZ-DUO74-1C-WSLN-WHITE/CHROME,EZ-DUO74-1C-WSLN-White/Chrome,variant,27699,27699,Kartri Hang2It Duo-Poly Shower Curtain With Window & Snap Away Liner 72x74 White 12 Per Case Price Per Each,EZ-DUO74-1C-WSLN-White/Chrome,21.15,12,253.79999999999998,37.78,453.36,In Stock,https://www.ahscompany.com/Kartri-Hang2It-Duo-Poly-Shower-Curtain-With-Window-Snap-Away-Liner-72x74-White-12-Per-Case-Price-Per-Each_p_27699.html
