sku_norm,sku_raw,record_type,product_id,parent_product_id,parent_title,variant_sku,sku_cost,sku_case_pack,sku_case_cost,ahscompany_price,ahscompany_case_price,stock_status,url
SC-2-1WHITE,SC-2-1 White,variant,29880,29880,Kartri 8 Gauge San Crepe Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SC-2-1 White,,,,6.6,,In Stock,https://www.ahscompany.com/Kartri-8-Gauge-San-Crepe-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29880.html
SC-2-24FROSTY,SC-2-24 Frosty,variant,29880,29880,Kartri 8 Gauge San Crepe Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SC-2-24 Frosty,,,,6.6,,In Stock,https://www.ahscompany.com/Kartri-8-Gauge-San-Crepe-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29880.html
SC-2-2BEIGE,SC-2-2 Beige,variant,29880,29880,Kartri 8 Gauge San Crepe Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SC-2-2 Beige,,,,6.6,,In Stock,https://www.ahscompany.com/Kartri-8-Gauge-San-Crepe-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29880.html
SC-24FROSTY,SC-24 Frosty,variant,19920,19920,Kartri 8 Gauge San Crepe Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SC-24 Frosty,,,,10.95,,In Stock,https://www.ahscompany.com/Kartri-8-Gauge-San-Crepe-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19920.html
SC-2BEIGE,SC-2 Beige,variant,19920,19920,Kartri 8 Gauge San Crepe Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SC-2 Beige,,,,10.95,,In Stock,https://www.ahscompany.com/Kartri-8-Gauge-San-Crepe-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19920.html
SNW,SNW,product,19870,19870,Kartri Satein Woven Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,SNW,,,,24.8,,In Stock,https://www.ahscompany.com/Kartri-Satein-Woven-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19870.html
SNW-1WHITE,SNW-1 White,variant,19870,19870,Kartri Satein Woven Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,SNW-1 White,,,,24.8,,In Stock,https://www.ahscompany.com/Kartri-Satein-Woven-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19870.html
SNW-2,SNW-2,product,30241,30241,Kartri Satein Woven Polyester Shower Curtain With Sewn Eyelets 36x72 White or Beige 24 Per Case Price Per Each,SNW-2,,,,14.86,,In Stock,https://www.ahscompany.com/Kartri-Satein-Woven-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-or-Beige-24-Per-Case-Price-Per-Each_p_30241.html
SNW-2-1WHITE,SNW-2-1 White,variant,30241,30241,Kartri Satein Woven Polyester Shower Curtain With Sewn Eyelets 36x72 White or Beige 24 Per Case Price Per Each,SNW-2-1 White,,,,14.86,,In Stock,https://www.ahscompany.com/Kartri-Satein-Woven-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-or-Beige-24-Per-Case-Price-Per-Each_p_30241.html
SNW-2-2BEIGE,SNW-2-2 Beige,variant,30241,30241,Kartri Satein Woven Polyester Shower Curtain With Sewn Eyelets 36x72 White or Beige 24 Per Case Price Per Each,SNW-2-2 Beige,,,,14.86,,In Stock,https://www.ahscompany.com/Kartri-Satein-Woven-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-or-Beige-24-Per-Case-Price-Per-Each_p_30241.html
SNW-2BEIGE,SNW-2 Beige,variant,19870,19870,Kartri Satein Woven Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,SNW-2 Beige,,,,24.8,,In Stock,https://www.ahscompany.com/Kartri-Satein-Woven-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19870.html
SP,SP,product,19858,19858,Kartri Dobbie Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,SP,,,,26.54,,In Stock,https://www.ahscompany.com/Kartri-Dobbie-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19858.html
SP-1WHITE,SP-1 White,variant,19858,19858,Kartri Dobbie Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,SP-1 White,,,,26.54,,In Stock,https://www.ahscompany.com/Kartri-Dobbie-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19858.html
SP-2-1WHITE,SP-2-1 White,variant,30235,30235,Kartri Dobbie Polyester Shower Curtain With Sewn Eyelets 36x72 White or Beige 24 Per Case Price Per Each,SP-2-1 White,,,,15.95,,In Stock,https://www.ahscompany.com/Kartri-Dobbie-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-or-Beige-24-Per-Case-Price-Per-Each_p_30235.html
