option_sku,option_sku_compact,base_sku_norm,base_sku_raw,sheet_name,header_row,data_row,price_column_index,size_hint,case_pack,price_each,sku_case_cost,name_color_source,color_label,color_code,color_key,derivation_rule
KN-C011-S36X72-PK24,KNC011S36X72PK24,KN,KN,Stocked,9,15,7,"36"" x 72""",24,9.5,228,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",Gray,11,C011,base_sku + color + size + case_pack
KN-C020-S36X72-PK24,KNC020S36X72PK24,KN,KN,Stocked,9,15,7,"36"" x 72""",24,9.5,228,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",Dusk Rose,20,C020,base_sku + color + size + case_pack
ML-C001-S72X72-PK12,MLC001S72X72PK12,ML,ML,Stocked,9,16,4,"72"" x 72""",12,17.2,206.39999999999998,"Millennium White-1, Brown -10",White,1,C001,base_sku + color + size + case_pack
ML-C010-S72X72-PK12,MLC010S72X72PK12,ML,ML,Stocked,9,16,4,"72"" x 72""",12,17.2,206.39999999999998,"Millennium White-1, Brown -10",Brown,10,C010,base_sku + color + size + case_pack
ML-C001-S48X72-PK18,MLC001S48X72PK18,ML,ML,Stocked,9,16,5,"48"" x 72""",18,16.7,300.59999999999997,"Millennium White-1, Brown -10",White,1,C001,base_sku + color + size + case_pack
ML-C010-S48X72-PK18,MLC010S48X72PK18,ML,ML,Stocked,9,16,5,"48"" x 72""",18,16.7,300.59999999999997,"Millennium White-1, Brown -10",Brown,10,C010,base_sku + color + size + case_pack
ML-C001-S42X72-PK18,MLC001S42X72PK18,ML,ML,Stocked,9,16,6,"42"" x 72""",18,15.15,272.7,"Millennium White-1, Brown -10",White,1,C001,base_sku + color + size + case_pack
ML-C010-S42X72-PK18,MLC010S42X72PK18,ML,ML,Stocked,9,16,6,"42"" x 72""",18,15.15,272.7,"Millennium White-1, Brown -10",Brown,10,C010,base_sku + color + size + case_pack
ML-C001-S36X72-PK24,MLC001S36X72PK24,ML,ML,Stocked,9,16,7,"36"" x 72""",24,10.3,247.20000000000002,"Millennium White-1, Brown -10",White,1,C001,base_sku + color + size + case_pack
ML-C010-S36X72-PK24,MLC010S36X72PK24,ML,ML,Stocked,9,16,7,"36"" x 72""",24,10.3,247.20000000000002,"Millennium White-1, Brown -10",Brown,10,C010,base_sku + color + size + case_pack
