sku_norm,sku_raw,bc_type,product_id,variant_id,bc_price,bc_cost_price,name
SNWOVEN-1-34,SNWOVEN-1-34,variant,110134,96178,155.88,0,
SP-1,SP-1,variant,110128,96151,136.08,97.2,
SP-23,SP-23,variant,110128,96156,226.8,162,
SP-23STALL,SP-23 Stall,variant,110128,96157,136.08,97.2,
SP-2STALL,SP-2 Stall,variant,110128,96153,136.08,97.2,
SP-35,SP-35,variant,110128,96158,226.8,162,
SP-35STALL,SP-35 Stall,variant,110128,96159,136.08,97.2,
SP-7,SP-7,variant,110128,96154,226.8,162,
SP-7STALL,SP-7 Stall,variant,110128,96155,136.08,97.2,
SP3020-1,SP3020-1,product,110128,,226.8,0,Kartri | Dobbie Sparkle Luxury Hotel Shower Curtains
SP3070,SP3070,variant,110150,96224,203.88,0,
SP3070-1,SP3070-1,product,110150,,119.88,0,KARTRI| SAVOY| NYLON LINER W/ SEWN EYELETS PACK OF 12
SP3070-1-34,SP3070-1-34,variant,110150,96223,119.88,0,
SPECIFY-D,SPECIFY-D,variant,110185,96246,347.88,0,
SPECIFY-K,SPECIFY-K,variant,110185,96248,419.88,0,
SPECIFY-Q,SPECIFY-Q,variant,110185,96247,359.88,0,
SPECIFY-T,SPECIFY-T,product,110185,,275.88,0,KARTRI| DECORATIVE| TOP BED SHEET| W/ SQUARE CORNERS TWIN WHITE KAR-RIPPLE PACK OF 12
SPECIFY-T-6,SPECIFY-T-6,variant,110185,96245,275.88,0,
SS-1-36,SS-1-36,variant,109815,105864,170.5,115.2,
SS-1-42,SS-1-42,variant,109815,106845,187.81,126.9,
SS-1-48,SS-1-48,variant,109815,105867,206.46,139.5,
SS-1-72,SS-1-72,variant,109815,105861,142.08,96,
SS-12-36,SS-12-36,variant,109815,106854,170.5,115.2,
SS-12-42,SS-12-42,variant,109815,106850,187.81,126.9,
SS-12-48,SS-12-48,variant,109815,106843,206.46,139.5,
SS-12-72,SS-12-72,variant,109815,106839,142.08,96,
SS-17-36,SS-17-36,variant,109815,106855,170.5,115.2,
SS-17-42,SS-17-42,variant,109815,106851,187.81,126.9,
SS-17-48,SS-17-48,variant,109815,106844,206.46,139.5,
SS-17-72,SS-17-72,variant,109815,106840,142.08,96,
SS-19-42,SS-19-42,variant,109815,106849,187.81,126.9,
SS-2-36,SS-2-36,variant,109815,105865,170.5,115.2,
SS-2-42,SS-2-42,variant,109815,106846,187.81,126.9,
SS-2-48,SS-2-48,variant,109815,105868,206.46,139.5,
SS-3-72,SS-3-72,variant,109815,105862,142.08,96,
SS-7-36,SS-7-36,variant,109815,106852,170.5,115.2,
SS-7-42,SS-7-42,variant,109815,106847,187.81,126.9,
SS-7-48,SS-7-48,variant,109815,106841,206.46,139.5,
SS-7-72,SS-7-72,variant,109815,106837,142.08,96,
SS-8-36,SS-8-36,variant,109815,105866,170.5,115.2,
SS-8-42,SS-8-42,variant,109815,106848,187.81,126.9,
SS-8-48,SS-8-48,variant,109815,105869,206.46,139.5,
SS-8-72,SS-8-72,variant,109815,105863,142.08,96,
SS-9-36,SS-9-36,variant,109815,106853,170.5,115.2,
SS-9-48,SS-9-48,variant,109815,106842,206.46,139.5,
SS-9-72,SS-9-72,variant,109815,106838,142.08,96,
SSCNA,SSCNA,variant,110151,59140,107.88,0,
SSCNAEX,SSCNAEX,variant,110153,96226,131.88,0,
SSCNAEX-1,SSCNAEX-1,product,110153,,114.24,0,Kartri| 10 Gauge San Suede Executive Flame Retardant| Vinyl Shower Curtain w/ Metal Grommets pack of 12
SSCNAEX-1-34,SSCNAEX-1-34,variant,110153,96225,83.88,0,
ST2700,ST2700,variant,110172,96238,167.76,0,
ST2700-1,ST2700-1,product,110172,,119.76,0,KARTRI| 7 GAUGE SEE-THRU| VINYL SHOWER CURTAIN W/ METAL GROMMETS PACK OF 24
ST2700-1-36,ST2700-1-36,variant,110172,96237,119.76,0,
SU3090,SU3090,variant,110132,96163,191.88,0,
SU3090-1,SU3090-1,product,110132,,119.88,0,KARTRI| SUPER STRIPE| NYLON SHOWER CURTAIN W/ SEWN EYELETS PACK OF 12
SU3090-1-34,SU3090-1-34,variant,110132,96162,119.88,0,
SW2000,SW2000,variant,110170,96236,83.88,0,
SW2000-1,SW2000-1,product,110170,,59.88,0,KARTRI| 8 GAUGE SWIRL| VINYL SHOWER CURTAIN W/ METAL GROMMETS PACK OF 12
SW2000-1-36,SW2000-1-36,variant,110170,96235,59.88,0,
TD2002,TD2002,variant,110144,96204,215.92,0,
TD2002-1,TD2002-1,product,110144,,127.92,0,KARTRI| TEARDROP| FLAME RETARDANT POLY/AVORA BLEND SHOWER CURTAIN W/ SEWN EYELETS PACK OF 8
TD2002-1-34,TD2002-1-34,variant,110144,96203,127.92,0,
TW4060,TW4060,variant,110139,96191,125.94,83.7,
TW4060-1,TW4060-1,product,110139,,155.88,100.8,KARTRI | DUCK-COTTON SHOWER CURTAIN
TW4060-1-34,TW4060-1-34,variant,110139,96190,155.88,100.8,
ULBAR,ULBAR,variant,110189,59224,371.88,0,
ULBAR-LED,ULBAR-LED,variant,110190,59225,2015.88,0,
V8WHITESHOWERCURTAIN,V8 White Shower Curtain,product,112436,,142.8,5.99,V8 - White - HANG2IT Curtain - Pack of 12
VC2006,VC2006,variant,110138,59117,323.88,0,
VS5700,VS5700,variant,110173,96240,143.76,0,
VS5700-1,VS5700-1,product,110173,,95.76,0,KARTRI| 5 GAUGE VINSOFT| VINYL SHOWER CURTAIN W/ METAL GROMMETS PACK OF 24
VS5700-1-36,VS5700-1-36,variant,110173,96239,95.76,0,
VT6700,VT6700,variant,110174,96242,83.88,0,
