parent_product_id,title,source_url,payload_sku,missing_sku_count,category_match_status,category_match_score,matched_product_id,matched_product_sku,matched_product_name,category_ids,category_paths,image_count,first_image_url
27197,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Snap Away Liner 72x74 White or Beige 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-Empire-Waffle-Polyester-Shower-Curtain-With-Snap-Away-Liner-72x74-White-or-Beige-12-Per-Case-Price-Per-Each_p_27197.html,EZ-EP74-1-SLN,2,matched,79.55,110176,EZ-STDU,KARTRI| STARDUST EZY-HANG| POLYESTER SHOWER CURTAIN 72X74 WHITE OR BEIGE PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,5,https://www.ahscompany.com/assets/images/kartri/ez-ep74-1-c-wslnnew9.jpg
27201,Kartri Hang2It Herringbone Polyester Shower Curtain With Window & Snap Away Liner 72x74 White With Chrome Buckles 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-Herringbone-Polyester-Shower-Curtain-With-Window-Snap-Away-Liner-72x74-White-With-Chrome-Buckles-12-Per-Case-Price-Per-Each_p_27201.html,E2Z-HB1-74-WSL,1,matched,28.0,110178,EZ-RASE,KARTRI| RAMSEY EZY-HANG| POLYESTER SHOWER CURTAIN 72x74 PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,4,https://www.ahscompany.com/assets/images/kartri/e2z-hb1-74-wslnew.jpg
27202,Kartri Hang2It Herringbone Polyester Shower Curtain With Window & Snap Away Liner 72x77 White With Chrome Buckles 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-Herringbone-Polyester-Shower-Curtain-With-Window-Snap-Away-Liner-72x77-White-With-Chrome-Buckles-12-Per-Case-Price-Per-Each_p_27202.html,E2Z-HB1-77-WSL,1,matched,27.27,110201,KA412R,KARTRI| CHROME| OPEN ROLLER| SHOWER CURTAIN HOOKS PACK OF 12 DZ,5452,Hotel Bathroom Supplies > Hotel Shower Curtains > Shower Hook Replacements,4,https://www.ahscompany.com/assets/images/kartri/e2z-hb1-74-wslnew.jpg
27205,Kartri Hang2It Matt-Satin Polyester Shower Curtain With Window & Snap Away Liner 72x74 Chrome Buckles 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-Matt-Satin-Polyester-Shower-Curtain-With-Window-Snap-Away-Liner-72x74-Chrome-Buckles-12-Per-Case-Price-Per-Each_p_27205.html,EZ-MS74-WW-1WSLN,2,matched,52.27,110178,EZ-RASE,KARTRI| RAMSEY EZY-HANG| POLYESTER SHOWER CURTAIN 72x74 PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,2,https://www.ahscompany.com/assets/images/kartri/ez-ms74-ww-1wslnwhitenew.jpg
27206,Kartri Hang2It Matt-Satin Polyester Shower Curtain With Window & Snap Away Liner 72x77 White With Chrome Buckles 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-Matt-Satin-Polyester-Shower-Curtain-With-Window-Snap-Away-Liner-72x77-White-With-Chrome-Buckles-12-Per-Case-Price-Per-Each_p_27206.html,EZ-MS77-WW-1WSLN,1,matched,38.64,112438,EZ-SSB-1,HANG2IT White Buckles on White Vinyl Shower Curtain pack of 20,5396|5442|5446|5447|5448,Hotel Bathroom Supplies || Monthly Specials || Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Vinyl Curtains || Clearance,2,https://www.ahscompany.com/assets/images/kartri/ez-ms74-ww-1wslnwhitenew.jpg
27702,Kartri Hang2It Millennium Polyester Shower Curtain With Window & Snap Away Liner 72x74 White With White Buckles 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-Millennium-Polyester-Shower-Curtain-With-Window-Snap-Away-Liner-72x74-White-With-White-Buckles-12-Per-Case-Price-Per-Each_p_27702.html,E2Z-ML74-1WSLN,1,matched,30.0,110126,ML2007,Kartri | Millennium | Polyester Shower Curtain w/ Sewn Eyelets | Pack of 12,5446,Hotel Bathroom Supplies > Hotel Shower Curtains,3,https://www.ahscompany.com/assets/images/kartri/e2z-ml77-1wslneww.jpg
27207,Kartri Hang2It Millennium Polyester Shower Curtain With Window & Snap Away Liner 72x77 White With White Buckles 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-Millennium-Polyester-Shower-Curtain-With-Window-Snap-Away-Liner-72x77-White-With-White-Buckles-12-Per-Case-Price-Per-Each_p_27207.html,E2Z-ML77-1WSLN,1,matched,30.0,110126,ML2007,Kartri | Millennium | Polyester Shower Curtain w/ Sewn Eyelets | Pack of 12,5446,Hotel Bathroom Supplies > Hotel Shower Curtains,3,https://www.ahscompany.com/assets/images/kartri/e2z-ml77-1wslneww.jpg
23098,Kartri Hang2It Moire Polyester Shower Curtain 72x74 White 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-Moire-Polyester-Shower-Curtain-72x74-White-12-Per-Case-Price-Per-Each_p_23098.html,EZ-MOREA-1,1,matched,68.33,110179,EZ-MORE,KARTRI| MOIRE EZY-HANG| POLYESTER SHOWER CURTAIN 72X74 WHITE OR BEIGE PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,4,https://www.ahscompany.com/assets/images/kartri/ez-moreanew3.jpg
27705,Kartri Hang2It Moire Polyester Shower Curtain With Window 72x77 White 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-Moire-Polyester-Shower-Curtain-With-Window-72x77-White-12-Per-Case-Price-Per-Each_p_27705.html,EZ-MORE77-1-W,1,matched,53.0,110179,EZ-MORE,KARTRI| MOIRE EZY-HANG| POLYESTER SHOWER CURTAIN 72X74 WHITE OR BEIGE PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,4,https://www.ahscompany.com/assets/images/kartri/ez-moreanew1.jpg
30232,Kartri Hang2It Moire Polyester Shower Curtain With Window & Snap Away Liner 72x74 White 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-Moire-Polyester-Shower-Curtain-With-Window-Snap-Away-Liner-72x74-White-12-Per-Case-Price-Per-Each_p_30232.html,EZ-MOREA-1-WSLN,1,matched,68.33,110179,EZ-MORE,KARTRI| MOIRE EZY-HANG| POLYESTER SHOWER CURTAIN 72X74 WHITE OR BEIGE PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,4,https://www.ahscompany.com/assets/images/kartri/ez-morea-1-w-full.jpg
23100,Kartri Hang2It 150 Denier Polyester Liner 72x74 White 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-150-Denier-Polyester-Liner-72x74-White-12-Per-Case-Price-Per-Each_p_23100.html,EZ-150PA-1,1,matched,81.0,110181,EZ-150P,KARTRI| EZY-HANG 150 DENIER| POLYESTER LINER 72X74 WHITE OR BEIGE PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,2,https://www.ahscompany.com/assets/images/kartri/ez-150pa-1new2.jpg
19858,Kartri Dobbie Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Dobbie-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19858.html,SP,2,matched,42.0,110126,ML2007,Kartri | Millennium | Polyester Shower Curtain w/ Sewn Eyelets | Pack of 12,5446,Hotel Bathroom Supplies > Hotel Shower Curtains,2,https://www.ahscompany.com/assets/images/Kartri/sp3020_1.jpg
30235,Kartri Dobbie Polyester Shower Curtain With Sewn Eyelets 36x72 White or Beige 24 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Dobbie-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-or-Beige-24-Per-Case-Price-Per-Each_p_30235.html,SP-2,2,matched,27.27,110126,ML2007,Kartri | Millennium | Polyester Shower Curtain w/ Sewn Eyelets | Pack of 12,5446,Hotel Bathroom Supplies > Hotel Shower Curtains,2,https://www.ahscompany.com/assets/images/Kartri/sp3020_1.jpg
19879,Kartri Duck Twill Shower Curtain With Metal Grommets 72x72 White or Beige 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Duck-Twill-Shower-Curtain-With-Metal-Grommets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19879.html,DK,2,matched,51.43,110151,SSCNA,KARTRI| 10 GAUGE PEBBLES| VINYL SHOWER CURTAIN W/ METAL GROMMETS 72x72 PACK OF 12,5446|5447,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Vinyl Curtains,2,https://www.ahscompany.com/assets/images/Kartri/duckbeigecolorchart.jpg
30236,Kartri Duck Twill Shower Curtain With Metal Grommets 36x72 White or Beige 24 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Duck-Twill-Shower-Curtain-With-Metal-Grommets-36x72-White-or-Beige-24-Per-Case-Price-Per-Each_p_30236.html,DK-2,2,matched,39.23,110173,VS5700-1,KARTRI| 5 GAUGE VINSOFT| VINYL SHOWER CURTAIN W/ METAL GROMMETS PACK OF 24,5446|5447,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Vinyl Curtains,2,https://www.ahscompany.com/assets/images/Kartri/duckbeigecolorchart.jpg
19860,Kartri Dynasty Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Dynasty-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19860.html,DY,2,matched,82.78,110133,DY,KARTRI| DYNASTY| POLYESTER SHOWER CURTAIN W/ SEWN EYELETS PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,2,https://www.ahscompany.com/assets/images/kartri/dy3040.jpg
30237,Kartri Dynasty Polyester Shower Curtain With Sewn Eyelets 36x72 White or Beige 24 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Dynasty-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-or-Beige-24-Per-Case-Price-Per-Each_p_30237.html,DY-2,2,matched,67.0,110133,DY,KARTRI| DYNASTY| POLYESTER SHOWER CURTAIN W/ SEWN EYELETS PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,2,https://www.ahscompany.com/assets/images/kartri/dy3040.jpg
19862,Kartri Kar-Rib Polyester Shower Curtain With Sewn Eyelets 72x72 White or Navy 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Kar-Rib-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Navy-12-Per-Case-Price-Per-Each_p_19862.html,KR,2,matched,70.0,110135,KAR KR3010-1,KARTRI| KAR-RIB| POLYESTER SHOWER CURTAIN W/ SEWN EYELETS PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,3,https://www.ahscompany.com/assets/images/kartri/kr3010.jpg
30238,Kartri Kar-Rib Polyester Shower Curtain With Sewn Eyelets 36x72 White or Navy 24 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Kar-Rib-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-or-Navy-24-Per-Case-Price-Per-Each_p_30238.html,KR-2,2,matched,54.55,110135,KAR KR3010-1,KARTRI| KAR-RIB| POLYESTER SHOWER CURTAIN W/ SEWN EYELETS PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,3,https://www.ahscompany.com/assets/images/kartri/kr3010.jpg
27688,Kartri Luxor Diamond Waffle Polyester Shower Curtain With Metal Grommets & Window 72x72 White 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Luxor-Diamond-Waffle-Polyester-Shower-Curtain-With-Metal-Grommets-Window-72x72-White-12-Per-Case-Price-Per-Each_p_27688.html,FFI-WAF11A,1,matched,72.22,110140,LWAFF,KARTRI| LUXOR DIAMOND WAFFLE| POLYESTER SHOWER CURTAIN W/ METAL GROMMETS PACK OF 6,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,2,https://www.ahscompany.com/assets/images/kartri/ffi-waff11a-100.jpg
30234,Kartri Luxor Diamond Waffle Polyester Shower Curtain With Metal Grommets & Window 72x78 White 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Luxor-Diamond-Waffle-Polyester-Shower-Curtain-With-Metal-Grommets-Window-72x78-White-12-Per-Case-Price-Per-Each_p_30234.html,FFI-WAF1178,1,matched,72.22,110140,LWAFF,KARTRI| LUXOR DIAMOND WAFFLE| POLYESTER SHOWER CURTAIN W/ METAL GROMMETS PACK OF 6,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,2,https://www.ahscompany.com/assets/images/kartri/ffi-waff11a-100.jpg
19866,Kartri Millennium Polyester Shower Curtain With Sewn Eyelets 72x72 White 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Millennium-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-12-Per-Case-Price-Per-Each_p_19866.html,ML-1,1,matched,62.86,110126,ML2007,Kartri | Millennium | Polyester Shower Curtain w/ Sewn Eyelets | Pack of 12,5446,Hotel Bathroom Supplies > Hotel Shower Curtains,1,https://www.ahscompany.com/assets/images/kartri/ml2007.jpg
